user_id,heart_rate,blood_oxygen,step_count,sleep_duration,activity_level,stress_level
4174,58.94,98.81,5450.39,7.17,"Highly Active",1
1860,247.80,97.05,2826.52,NULL,"Highly Active",5
2294,40.00,96.89,13797.34,7.37,Active,3
2130,61.95,98.58,15679.07,NULL,"Highly Active",6
2095,96.29,94.20,10205.99,8.38,"Highly Active",10
4772,47.27,95.39,3208.78,7.87,Sedentary,2
4092,81.73,95.98,6051.25,5.22,Sedentary,1
3979,93.34,97.22,1775.03,5.47,Sedentary,1
3169,51.41,97.27,7940.02,7.95,Sedentary,8
2238,73.85,95.40,1748.20,4.83,Active,1
1330,95.37,99.15,6155.84,5.81,"Highly Active",10
3135,68.09,99.73,8124.14,6.44,"Highly Active",5
4444,40.00,99.05,1449.22,6.39,Active,2
4171,58.28,97.79,5643.51,7.85,Sedentary,10
3919,NULL,96.05,3488.92,6.72,Sedentary,4
4735,98.06,96.03,5846.92,6.62,Sedentary,9
2685,74.11,99.65,2601.40,6.75,"Highly Active",9
2515,69.42,99.25,3306.11,8.42,"Highly Active",1
4485,84.59,99.02,4173.37,9.17,Sedentary,9
3853,64.63,99.79,1520.18,6.87,Sedentary,2
3433,75.17,98.10,3400.90,8.65,Sedentary,10
2215,86.55,97.47,3790.05,6.84,Sedentary,1
1955,64.10,98.15,1778.20,4.42,Sedentary,7
3324,69.62,100.00,7137.10,6.95,Sedentary,2
2184,66.63,99.52,219.38,5.99,Sedentary,6
1459,81.78,98.19,1540.73,7.21,"Highly Active",10
4385,80.24,100.00,6848.56,NULL,Sedentary,6
1021,67.23,100.00,6913.14,5.74,Active,10
3300,80.11,100.00,2157.69,7.08,"Highly Active",4
1747,40.00,100.00,8043.06,7.79,Active,5
3904,87.53,100.00,4441.36,8.53,Sedentary,5
4632,88.44,100.00,5244.27,7.98,Sedentary,6
1474,67.40,92.66,2830.67,4.83,Sedentary,7
2082,64.42,98.42,29066.33,4.83,"Highly Active",3
3558,74.14,95.06,9359.52,7.65,Active,4
4753,61.35,100.00,1999.14,5.92,"Highly Active",2
3047,63.68,97.37,1889.48,5.02,Active,2
1975,79.77,100.00,671.81,8.95,"Highly Active",2
2806,118.29,95.63,253.74,5.84,Active,8
1189,93.73,99.41,3740.52,5.38,Sedentary,3
4005,86.03,95.91,3749.51,6.40,Sedentary,3
3734,85.49,93.73,8589.66,7.64,"Highly Active",7
4005,76.30,98.38,5985.90,6.94,Sedentary,8
1562,82.57,95.55,10291.39,9.34,Active,1
2899,77.96,95.01,2676.54,6.76,Sedentary,6
4638,90.76,94.86,6851.85,6.24,Sedentary,4
2267,70.81,97.22,15182.67,8.76,"Highly Active",4
3879,70.01,99.87,502.63,7.39,"Highly Active",10
2528,92.67,95.08,8627.84,5.88,"Highly Active",2
4202,68.10,100.00,8808.58,6.86,NULL,4
4556,60.83,96.92,11060.18,6.83,Sedentary,1
4890,63.78,95.87,2193.85,6.19,"Highly Active",6
1646,86.23,100.00,3771.23,6.77,Active,5
3068,115.08,99.93,1918.37,NULL,"Highly Active",4
3888,61.68,99.63,2583.07,5.97,Sedentary,8
3214,84.68,98.46,24206.26,7.15,Sedentary,1
2297,77.31,95.86,4129.76,5.71,Active,2
3435,91.92,100.00,13212.61,5.16,Active,1
1600,84.55,98.06,11089.12,6.44,Active,8
3363,92.85,98.27,4115.53,5.79,Active,1
3061,79.38,98.79,33956.72,4.52,Active,7
4060,62.48,99.98,12862.30,4.55,Sedentary,6
3041,64.80,94.74,4613.86,NULL,"Highly Active",10
3824,78.18,97.92,2594.46,6.64,"Highly Active",10
4417,82.01,97.09,547.96,6.97,"Highly Active",5
3612,69.24,100.00,4375.80,6.05,Active,2
3945,NULL,100.00,3124.12,4.23,Active,1
2363,89.12,98.59,8698.43,5.19,Active,2
3139,43.74,95.37,139.12,6.02,Sedentary,3
2390,73.16,96.82,12463.56,7.15,Sedentary,5
4003,59.55,92.95,3772.51,3.88,"Highly Active",2
2478,103.59,100.00,4440.62,3.03,Active,7
4499,41.71,96.86,1413.02,NULL,"Highly Active",4
3556,81.28,100.00,19406.12,7.40,Active,2
1775,76.85,96.88,3556.99,5.19,"Highly Active",1
1034,87.21,97.61,12948.31,6.15,Sedentary,5
